Leitungsdämpfung ,,Leitungsdämpfung der Messleitung + Durchführung + Zuleitung zum ESPI
,,
0,0
30,0.04,
32,0.01,
34,0.03,
36,0.07,
38,0.05,
40,0.05,
45,0.06,
50,0.17,
55,0.23,
60,0.2,
65,0.22,
70,0.25,
75,0.29,
80,0.35,
85,0.36,
90,0.34,
95,0.36,
100,0.38,
105,0.59,
110,0.63,
115,0.61,
120,0.69,
125,0.65,
130,0.68,
135,0.68,
140,0.71,
145,0.7,
150,0.71,
160,0.68,
170,0.77,
180,0.75,
190,0.8,
200,0.77,
210,0.9,
220,0.9,
230,0.95,
240,1,
250,0.98,
260,1.05,
270,0.99,
280,1.1,
290,1.04,
300,1.1,
310,1.07,
320,1.14,
330,1.14,
340,1.09,
350,1.17,
360,1.24,
370,1.17,
380,1.24,
390,1.22,
400,1.25,
425,1.28,
450,1.35,
475,1.38,
500,1.53,
525,1.49,
550,1.55,
575,1.55,
600,1.58,
625,1.64,
650,1.74,
675,1.68,
700,1.68,
725,1.92,
750,1.75,
775,1.79,
800,1.96,
825,2.07,
850,2.05,
875,2.01,
900,1.99,
925,1.96,
950,2.19,
975,2.23,
1000,2.21,
1050,2.07,
1100,2.18,
1150,2.28,
1200,2.44,
1250,2.47,
1300,2.53,
1350,2.57,
1400,2.83,
1450,2.7,
1500,2.71,
1550,2.66,
1600,2.91,
1650,3.06,
1700,3.06,
1750,3.22,
1800,3.26,
1850,3.29,
1900,3.34,
1950,3.46,
2000,3.79,
3000,3.79,